commit	val_bpb	memory_gb	status	description
4d32d8c	2.626345	1.5	discard	gpu2 run3 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=0.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626277	1.8	discard	gpu1 run4 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=74 H_CYCLES=1 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626065	1.5	keep	gpu2 run4 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626648	2.7	discard	gpu3 run4 DEPTH=8 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626451	1.5	discard	gpu0 run4 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=3 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626146	1.5	discard	gpu1 run5 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626086	1.5	discard	gpu3 run5 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626079	1.5	discard	gpu0 run5 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626259	1.5	discard	gpu2 run5 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626230	1.5	discard	gpu1 run6 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.3 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
